TCP_dataofs,ARP_hw_len,IP_len,IP_ihl,UDP_sport,DNS_cd,TCP_window,TCP_urgptr,ARP_proto_type,IP_ttl,TCP_options,ARP_proto_len,Ether_dst,Ethernet_type,IP_options,Raw_load,IP_flags,DNS_qr,DNS_an,Ethernet_src_mac,DNS_rcode,TCP_chksum,timestamp,raw_size,DNS_z,DNS_ra,IP_id,ARP_sender_mac,ARP_sender_ip,ARP_target_ip,IP_proto,DNS_opcode,TCP_sport,IP_chksum,TCP_seq,TCP_ack,IP_dst,Ether_type,DNS_aa,DNS_ad,DNS_qd,DNS_ar,IP_version,TCP_flags,DNS_qdcount,ARP_target_mac,IP_tos,ARP_hw_type,DNS_nscount,TCP_dport,IP_frag,UDP_dport,DNS_ns,UDP_len,ARP_opcode,DNS_ancount,TCP_reserved,DNS_rd,Ethernet_dst_mac,DNS_tc,IP_src,UDP_chksum,Ether_src,DNS_arcount,DNS_id,date,hour
10,"",60,5,"","",64240,0,"",64,"[""['MSS', '1460']"", ""['SAckOK', '']"", '[\'Timestamp\', ""[\'341210944\', \'0\']""]', ""['NOP', None]"", ""['WScale', '7']""]","",0c:73:29:74:6e:d2,2048,[],"",DF,"","",2c:3b:70:67:50:8b,"",59184,1970-01-01T00:29:09.145223,74,"","",48499,"","","",6,"",60194,9602,184978077,0,162.247.243.29,2048,"","","","",4,S,"","",0,"","",443,0,"","","","","",0,"",0c:73:29:74:6e:d2,"",192.168.1.9,"",2c:3b:70:67:50:8b,"","",1970-01-01,0
5,"",40,5,"","",0,0,"",117,[],"",2c:3b:70:67:50:8b,2048,[],"",DF,"","",0c:73:29:74:6e:d2,"",58672,1970-01-01T00:29:09.145223,54,"","",0,"","","",6,"",443,50788,2854885436,0,192.168.1.9,2048,"","","","",4,R,"","",0,"","",50978,0,"","","","","",0,"",2c:3b:70:67:50:8b,"",189.204.191.237,"",0c:73:29:74:6e:d2,"","",1970-01-01,0
10,"",60,5,"","",65535,0,"",52,"[""['MSS', '1460']"", ""['SAckOK', '']"", '[\'Timestamp\', ""[\'4218064608\', \'341210693\']""]', ""['NOP', None]"", ""['WScale', '9']""]","",2c:3b:70:67:50:8b,2048,[],"",DF,"","",0c:73:29:74:6e:d2,"",58054,1970-01-01T00:29:09.145223,74,"","",0,"","","",6,"",443,61173,2091120850,2241794194,192.168.1.9,2048,"","","","",4,SA,"","",0,"","",60182,0,"","","","","",0,"",2c:3b:70:67:50:8b,"",162.247.243.29,"",0c:73:29:74:6e:d2,"","",1970-01-01,0
10,"",60,5,"","",65535,0,"",52,"[""['MSS', '1460']"", ""['SAckOK', '']"", '[\'Timestamp\', ""[\'1799911333\', \'341210944\']""]', ""['NOP', None]"", ""['WScale', '9']""]","",2c:3b:70:67:50:8b,2048,[],"",DF,"","",0c:73:29:74:6e:d2,"",48587,1970-01-01T00:29:09.145223,74,"","",0,"","","",6,"",443,61173,88423440,184978078,192.168.1.9,2048,"","","","",4,SA,"","",0,"","",60194,0,"","","","","",0,"",2c:3b:70:67:50:8b,"",162.247.243.29,"",0c:73:29:74:6e:d2,"","",1970-01-01,0
8,"",52,5,"","",502,0,"",64,"[""['NOP', None]"", ""['NOP', None]"", '[\'Timestamp\', ""[\'341211033\', \'4218064608\']""]']","",0c:73:29:74:6e:d2,2048,[],"",DF,"","",2c:3b:70:67:50:8b,"",3659,1970-01-01T00:29:09.145223,66,"","",4887,"","","",6,"",60182,53222,2241794194,2091120851,162.247.243.29,2048,"","","","",4,A,"","",0,"","",443,0,"","","","","",0,"",0c:73:29:74:6e:d2,"",192.168.1.9,"",2c:3b:70:67:50:8b,"","",1970-01-01,0
8,"",52,5,"","",502,0,"",64,"[""['NOP', None]"", ""['NOP', None]"", '[\'Timestamp\', ""[\'341211033\', \'1799911333\']""]']","",0c:73:29:74:6e:d2,2048,[],"",DF,"","",2c:3b:70:67:50:8b,"",59978,1970-01-01T00:29:09.145223,66,"","",48500,"","","",6,"",60194,9609,184978078,88423441,162.247.243.29,2048,"","","","",4,A,"","",0,"","",443,0,"","","","","",0,"",0c:73:29:74:6e:d2,"",192.168.1.9,"",2c:3b:70:67:50:8b,"","",1970-01-01,0
8,"",1500,5,"","",502,0,"",64,"[""['NOP', None]"", ""['NOP', None]"", '[\'Timestamp\', ""[\'341211034\', \'4218064608\']""]']","",0c:73:29:74:6e:d2,2048,[],"b'\x16\x03\x01\x07\xf7\x01\x00\x07\xf3\x03\x03\xba\xe60\xb2\xbd\x0e\x199\xf7\x9e,\xfe\x8f\xe7\x030/\xd6\xdf\xaf\xfe\xf7\x8d\xcf\x1c\x858\xbb\xec\x11V\xb6 6V\x91\'\xd0\x89w{f\x83X\xf7r\xa6\xa5\xf2m\xf5&\x8dgb\x19y\xecn6\xb2\xb4Y\x07E\x00 \x9a\x9a\x13\x01\x13\x02\x13\x03\xc0+\xc0/\xc0,\xc00\xcc\xa9\xcc\xa8\xc0\x13\xc0\x14\x00\x9c\x00\x9d\x00/\x005\x01\x00\x07\x8a::\x00\x00\x00\x1b\x00\x03\x02\x00\x02\x00\x0b\x00\x02\x01\x00\x00\x00\x00\x14\x00\x12\x00\x00\x0fbam.nr-data.net\x00+\x00\x07\x06\xea\xea\x03\x04\x03\x03\x00#\x00\x00\x00\x12\x00\x00\x003\x04\xef\x04\xed\xda\xda\x00\x01\x00\x11\xec\x04\xc0\x1ap\r+Q\x1e\xaf\x89Bw\xb3\x08U\xe4\x83\xa9a\x15\xe5\xf4C\xd5\xf3Y\xa9\x92fCG\xac9c\xc5\xf7\x19\x98y9\xb9\x88\xa4[gkz6\xc5\x99\x16\x16l\x1bKj\x95\x05%\xaf\x84<0\xb9\x05\xdf*s\x1d\xb7\x863\xe6F\x06*.\x99\xc3\x98\x9d\x9b/sv_\xb3\x96f\xf8\xfaHaR\xbet\xac\x8c;\x930\xda\xb4\x8d\xccd\x02R5e_{\xb7\xa4\xc8\x1dHI(\xbc\x85\x02\xfe\x86\x8f3\xd7QfXH\xd7\x88-\x96g\x14\x0c\xd9q(\x00Y^y\x04A\x068SZ\xbf:PO\xb3\x0b\xba,\xa3r\xe3\xd6\xcf \xd6|\x00\x9a#\xd5\x92j\x08\xa2E\x86\xc8v5Z\x0cO&Y\xa0p7\x9a\xa3\xb6\xbc\xd7\x99\x11\xd0q\'E\xc8K)\x18\xd6\x84\x93\xe6\x81W!\x19\x91\x89,\xc0:H.\xc2\xf8:s\x0c\x99\x1e\xca\x1cw\x80\x15\xe6\x88kB\x07 \xcfc\xc5\x17\xc9[\xfflI\xb0\xb0N\xcef \xd7\xb1tC\xfafl\xf4\xaf\xedFIPxp&V\x04%\x97\x19\x93\xda=O\xd8\xc1\\\xd8\x9a]\xc0w(\xb2\x0f\xd8I\xa7k97V\xd5EuC\xcd\xeeY\x02\xd0647\x13\x91\xc8\x88U\x94LT\x11\xf9\x90^\xd8\xa6:\xa2\x03\xcf{\x9e3\x12\r\xd7LvX\xca\xcd\x93*q\x0f\x02&@\xd2\xad\x14cQ\xbbD\x86\xbbQ\xc9\xee\xd3-\x8c\x93\xb1\xcd\xa0\x11\xf3\xe1\xa7\xaf\x92N\x11\x03B\x8f\x0c3\x05\xa1\x97\x8f\x19\xc4\x7fW\x9b\r\xa9=tUYr\x98\x8f{@<\xb1e7\x81\x90^\xb7\\\x92,#\xb9\xdf\x18\xbe\xf8\xa1\x08U\x92;\xb7\xc0j\xd2\xb7j\x19\x15\xb8JsI\x9e*?Y\xd5\x0eO\x81\x1a\xfa\xf3oG\x90\'^,4\xb5\xd7\x83y\xa0[\xdfD\xb4\xc3`\x02EG\x03\x0cf\xafo\xe1\x1e*\x07!\xa7Y\x99\xd2\xbb\xa0i\xb5\x9cF\x8a\xa3\x9b\xd2\xb95\x9a>\xbfwZ\xaak\xa4\xcd\xf0z\xecr\x06oq\'\x93:*\x1f\x01\x93j\td\x85c7\xd5fxx\xf4\xc6Q;O\xb3y]\x05+\x1f\xfcL\x84\x93\xd23\xa3\x19!\xc2+\x85O\x8b\x84X1\x12\xa3!^I\x06\xcf\xc9gz\xfaf\xb9\xfa\x02i\xef\x87\xc7!\x1a\xca\xfb<\xbc\xa8\xbc\x84\xcc\xa1&\xffL\xcdB\x17\xb7.z\xcf\xe5\x81[\xe9\x14\x81\n\xd2|\xe4\x06\x1c\xaf@=\x93kjL\x8b(3\xd6\xb4E$M\xd4Ei\xc1\n\x86\xc7!\x18w7|\x1d\xe5\xbd9\xf6)\xebr\xb8\xf6\x9c\xad\x1e\xe3}\x9eh U\xca\xb6\x90#b\xe9\x95x\x03\xb6C>\x9a\x86\xb3\xeb\xc4\x8c\x14B\x15[\x7f\xa7;v\xbc\xabdW\x05z]\xe7wVx\x13v\xea\x1f\x8f\xab\xa7U\xf3\x13\xbbDa\xc7\xf7\x19\x17\xc1\xba\x17\x86SC\x19\x88\xe7\x98\xa8\x8c\xc9C\xcab$+J\nz\xfcW\x9a\xf2rCi|\xff#H\xe8\xbc\xa3d\x1b~9\x07\x9dF6\x8d\xd1\'\x94\x8a:z\xedBrzc\xc8_\xa0\xc2#\xd8Af4\xb0\xbb\x054\x1d`\x1d\x10\xcbm8\xcaZp\xf4\xc6`\xc5\xac\xb6\xe7\x004\x05\xaa\xc8\x17\xc0\x1c\xc0%\xd26{p\x06\xab\xaa\x9c\xb1\xe2\x01,VGB\x13H\x83\xb3\x01\x88\r\'\x8as5w\xc4\xe4!\xfb!TS+1F\\\x189Hf\xa4\x94p\x05|W\xe0\xd5&\xa7\xfb\x1d\xd9\xc6.\xfb\x1aY):\xacQ\x0bF\'z\xac\x89`\x87\xbe\x84\x1dQ$ \xd1\xe1M\x81\xe9\x19\x97\xd6v\x01\x99 \xf0\x94\x88\xff""h\xd9\xf2\x12\xc1s\x08\x87\xfa$#\xe3\x0e\xee*\x89\x0e\x18\x82\\\xa63n\xd0zEV!4\x95\x10n\x86r\x7f\xa9W\x9c@x9\xac\x01\xe2\x16|\x17\xe7\xae\x84Ex\x92\xd1C\x8e\x19\xc9+\x8c\xb2}\xa1\x0fvu=\xe1\xaa\x04?\xe3\x7f\x13k\xc4\xfdcT\xfbH\xc6\x1f\xd2;\xa7\xd8P\xa7\xdb\x10\xb6\xc3\xaf3\x18\x8f\xc2<\x11{\x92#\xc5\xc2}\xe1\xcc_;\xf7C\x8e\xfa\x0f\xb0\x08l\x18L\xc2\nh\xb6Z\xd8\x16\xa2bM\x19\x11\x8a\xa3q\x04\xf7Y%@\xc1\xbe\xc8\xb5X\xcf\n\x1c-\xd9\xad\xe6,T\xa4\x1cS\x1a\xc5_\xde R\xdaZ\x1b&1M\xcd\xcc\x9d\x8b\xb1\xc2j\xb2%\x07\xf7\x18\xcc\xc9\x05G\\\xc0\xffzZ\x93&\xc1\xe2\xaa\x91\x0b\x05O\xf29\xcf\x8aL\x01\x05#\x1dD\xc0\xc0\xc6\xe8\x96J\xd9H\x95@\t\xf0\x11\t3s\xbb\xdfy\x0b\xcb\xe5\xad\xa6\x8b\xbf\xb1\x99 \x0eP\xb0\x12X\x9a.\xd1\x8d_\x97\xb3\x13L\xa6\xe3\xb03\xa1*|A\xf1!\x95\xe9\x1a\x07\xf1\xa1\xd6n\xbe:2\x0c\x05\x8df\xfe\x82/\xe7\xd1Q\xa3\xb0Gy\xd7\x036\xda\xe1\x84\'v\xe2V\x8f\x87ew\xb9\\\xff\x18\x0c\x17*\xbcS\x95c\x0b\xe3-\xe1+\xa0a\x9c\x94C\xc9\x05\x15\xb7\xbecJ\x00\x1d\x00 \xaf\xfb\x19\xb0f\x01`\xbcT\xb2\x13\xa8\x13\xdb\xce\xdd\xaf\xbf\xa6\xb4$\x92\ngEm_\xf6\x14\xd6\xcfAD\xcd\x00\x05\x00\x03\x02'",DF,"","",2c:3b:70:67:50:8b,"",21534,1970-01-01T00:29:09.145223,1514,"","",4888,"","","",6,"",60182,51773,2241794194,2091120851,162.247.243.29,2048,"","","","",4,A,"","",0,"","",443,0,"","","","","",0,"",0c:73:29:74:6e:d2,"",192.168.1.9,"",2c:3b:70:67:50:8b,"","",1970-01-01,0
8,"",648,5,"","",502,0,"",64,"[""['NOP', None]"", ""['NOP', None]"", '[\'Timestamp\', ""[\'341211034\', \'4218064608\']""]']","",70:67:50:8b:02:90,2048,[],"b'h2\x00\r\x00\x12\x00\x10\x04\x03\x08\x04\x04\x01\x05\x03\x08\x05\x05\x01\x08\x06\x06\x01\x00\x05\x00\x05\x01\x00\x00\x00\x00\x00-\x00\x02\x01\x01\x00\n\x00\x0c\x00\n\xda\xda\x11\xec\x00\x1d\x00\x17\x00\x18\x00\x10\x00\x0e\x00\x0c\x02h2\x08http/1.1\xfe\r\x01\x1a\x00\x00\x01\x00\x01\xc8\x00 *2`6\x1dI\x99\xbcaO\x10@\xc9n\x98O$\xbc@\x06\xb9\'>\xfc6\xa8i\x0b\xa0\x077""\x00\xf0\x1c\x86B`\xbf\x95\xf6QQ\xdd\xc2\x910\xec<Pq\x99X\xe6H!;,(\xdf\x1e(9\x96T\xbe\xf6\xca\xb1\xea\xdcR\x8e\x9e\t\x15\xa6\xd7\xd0\xc6_\x15o\xa2H\xb3\xe3\xa7mM\rOu\xf8\x89\xc4j=\x9a}\x95\xa6\t\xd4w\xd0\xd4\x84\xccg\xc6\x0b\xfd\xb8\xff\xa3\xca9%LO""2\x83\xd4\x12\xe3\x97\xbc\xbb\x1f~OD\xfb\xffH\t\xedH,\x98\x8ewM\x9d\x9fb18\x00=\x10\xfd\xd7\xf9\xe2\xfe\xf8M\xe1\x0ebv\x10U0\xa4\t\x97\xa3g\x1a\x13\x89\xb3\xf4D\xa7\xd3-\x9fn\xaen\x11\x17l\xe6\xc0+\x98 \xf6B\xfc`,\xf5b;\xab\x15J\x80ws}\xae\xb2.G\xed\xb2C\xd4\xb18\x8ewY\xf3dc\xb9\xb5\xb3\xf9\x90O{\x10 n\xcdq-\xd3\x98\x16GF\r\xe4K\x92\x9b\xb5\xe6!\xc6\x7f\xb1su\xf2-4$|\x83\x90\x88\xd5E\x86&y\xd5\x98$\r\xfe\xdd\xff\x01\x00\x01\x00\x00\x17\x00\x00\x9a\x9a\x00\x01\x00\x00)\x00\xdb\x00\xb6\x00\xb0v\x90\xceQ8>\xfct\x06\x19C\x8b\xc5Z\xf5\xa1\r\xef-\x12h\xa3`\xa1\xb3\xeb\x97\x93\xe8\xca\x93d\x88\x98,{\x05gS\xb3\x8c\xf1\xcf\x1d\x19#\xa0\xec\xadJ\xae\xd1Pm\xe1~\x079\xe6YL0\xf4L.\x82~\x01\x1a\xbc\xd2$&\x8f@j\xa4(\x02\xdb\x80\xe2\x0b\xc8\x0f\xc3I\x85:\xd9\xc3H\xd89\xc3\x13w\xf4\x81\x80\xe9\xf4\xd9j\xa5\xfbh\x19\xc8\x95\xa4W\x96\xbem)\xa9\x19\xc2\x8a2\xdc\xcf\x1c\x92\x04\xfe\x178\xea52\xe6.\x94\x80T|\x1dt\xdc\x82o\xfe\xcd\xd1\x16C\xa4\x84\x1c\xa1""V\xea\x97;*\xba\xf1P\x98\t\x17\xe2\xe2G\xeeP\xeb\xd5\x7f\xff!\xec2\r\xd1Q\xa0\x00! \xda\xe6\x8d\xfb\xca\xe5=\x14=I\xfc\x10\xff\xf08\xc2a\xe3\xfaRF\xea;\xb9D\x94\xf1\x9b\xbb\x84\x94\xef'",DF,"","",aa:aa:03:00:00:00,"",40533,1970-01-01T00:29:09.145223,662,"","",4889,"","","",6,"",60182,52624,2241795642,2091120851,162.247.243.29,2048,"","","","",4,PA,"","",0,"","",443,0,"","","","","",0,"",70:67:50:8b:02:90,"",192.168.1.9,"",aa:aa:03:00:00:00,"","",1970-01-01,0
8,"",1500,5,"","",502,0,"",64,"[""['NOP', None]"", ""['NOP', None]"", '[\'Timestamp\', ""[\'341211034\', \'1799911333\']""]']","",0c:73:29:74:6e:d2,2048,[],"b'\x16\x03\x01\x07\xe7\x01\x00\x07\xe3\x03\x03Q\xff\x8f\xf4\xe6t\xc5\x94\x8e\xe2\xf7!\xcf\xcb_\x8e\xed\xb8Z[OZ\xc0+}\xf2I\x9c8W3W :K,\x8f\x10\x0f\xa5\xdf\xfc\xce\xb67 \x93w\xb5v\xa23\xc3\xbae]\xf9\x15_:\xcckJ\xd8\xeb\x00 \xda\xda\x13\x01\x13\x02\x13\x03\xc0+\xc0/\xc0,\xc00\xcc\xa9\xcc\xa8\xc0\x13\xc0\x14\x00\x9c\x00\x9d\x00/\x005\x01\x00\x07z\xba\xba\x00\x00\x00\x10\x00\x0e\x00\x0c\x02h2\x08http/1.1\x00\r\x00\x12\x00\x10\x04\x03\x08\x04\x04\x01\x05\x03\x08\x05\x05\x01\x08\x06\x06\x01\x00\x00\x00\x14\x00\x12\x00\x00\x0fbam.nr-data.net\xff\x01\x00\x01\x00\x003\x04\xef\x04\xed\x1a\x1a\x00\x01\x00\x11\xec\x04\xc0\x95\xf2\xa5\xa5\xc7U4\xf4\x0fI\x92\x1bB\x8b5}\xb0\x80\x9e*\xb4\xef`m\xf9P2`\xd4A\x87bc\xc7\x8b6\xedv\xb8P\x07R\xae\xe0fa\x13\x7f_\xa4;\xb22\xc8$h\t\x82\x89z=\xf3\x13?\xc3\xb8\x93\xda\xc9\xa3\xb8\xb5\xc1*""\xdd0V2B\xc7\x8e\xe3O\xedW\x08E\x97\xc5\xc3\x83b\x9c\xac!\xef\xb4\x83\xc69s\xe5\xe7\'EZ\x91\xe1t5\xcb\xbax\x0f9A\xfb\x0b\x0f\x94\xf1Ho\xac\x16\x19\x10!\xc8V\x83q\x17B\x9c\'e\xa9\x99\x1f\xa9\xa0)\xcbeD\x95\x9b\xa3\xb7\xa4\x00\xa1Ap\xb6\x85(5\x15\xc3\x03\xb3\xb7}JJ\x1d\xa9\x92\x04\xf7\x11\x88C\x155\xeaG\xc6\xd7T\x0b9X\xbc\x12m\xfd\xc4I\xa1%f\xcb\x86h\x0b\xcc\x85/\x99\xa7\x11\x08\xc6\x0fS\x98Z\x82Hf\xe8oJh\x06\xe7 \xca\x80a#z\x03\xbf\xbe\x86\xa0\x8a\xbbZ\xe4\xf2\x95\xeb\xa5b\x078\x8f8\x18\xa7\xd7E)\xdek]\x1bF\xa1~+\x84-\xcck\xb2FUM\xd3=\xcc{y\xf3f\xa6\x18\xa7\xb6\tI\x0f\xef\x16\x94\x8b\x1a\x88E<\x897\x1c\x18\x1e{\x80\x1fS\'\x84\xb9\xa4\xddJ\x0f\xd1\xb9!W\\1i\x05\xb3\x94\xc4=\xf9jQ \x04U.\'\x9f\xbcHnbe\x1c#\x96[\xb6\x08\x8eeF\x12v,#_\x84)\x89hi)f\x9d\xa0\xf1\x11o\xda\x8a\x04\xfc\xac\xeb\x05j\x14\xd7N\xf8\xd4N\xfeL\xca\xa6\xe1\xb1\xff\x86\xbfO7yK\xd6?{K:\x98\xb7tRfMY\x10\x8e\xcc\x8cyr\xabg\xa2Z\xc1\x9b\xda\xae\xc4\x02\xbf\xdd\xbbN\xae\xccu\x94;\x11\xa5\x85\xc3\xce\xb4B\xd7\xc8\xc3\x0f\x10V\xcf\x18\x0ba\xba\xb0\xe1\xfay#\xa8I\x01\x84#\x04!y\xdc\x17\xa1\x94<*\xe7GE\x16\xe5c\xfbD\x06+\xd8bN\xa0\x8f\xc4V2(\xb7*\t\xa2X\x87E\xa5\x93\xe4\xa6\xefb,\x18\x02\xb5\xe84d\xad7\rj\x11\x80\xf5j\xbe\x00\x13\x1e\xe6\xb6#i\x8b\x92\x8azI\xd2E\x07\x1f\x86E4&)\xadq\x8e\'U\x8c\x00\xaa2a\x10\xaa\x11\xd6x\xdeIH`\x90C\xb2\xd2c\xab\x81\x1e^1l\x17\xf7#\xf0\xa31 \xb8B\x04\tIY\xe3\xa9K\x15\xb3\xdaE\xb3Z\xaaU\xcc;|\xc9g\xbb\xc8l\x0f\x9c\xc4+\xf0z\xc5D\xe1tn\xe8\x92\xcf7\xb31\xe8\xb3\x9a\xc5V7F!&\xb3YI5p\xccr`\xb4\xe9\x82\xf2\xa2v\x14\x80n\x98\xf9H$<u\x8fW\nh{\x12[\x87\xb9\xbbT\x7f\x7f\x88\xae\xa86\x04[\xf35\xcaK\x7f\x97\xd2L\x14u#e\teW\x88\x8e\xf0\xc4=\x8a\x1a<\xeb\xf8\xcb\xcfI\x0f\x9a(\xce\x01F/\x80\xc5)V\x938\xa1\x07@\x95\xd1\x94\\0jI\x92\x91g\x10\x97`\xd2\x08\xc4\xc3\x93A\x89\x86\xb8@]\'j\xada\xa5_\xb1\x0cE\xd7{\xad\x81\x93y\xebY\x81\xd8U\xa6e,\x8c\x97\xd8\x85\xbd\x02\x9a#\xd5\x99\xae\xc7\xca{1N\xf9\xc3\x85}\xe6\xa4\x87zj\x15H\x98\xb8g[w\x04\xb81\xb8\x81`C\x16]\x99U\x84I5Uw:\xaaB\xc5G\xc0\xa5t@\x0eB\xbc\xa1bH\x18\x98\xd5\x87\x82\xa7\x9c\xef\xa7\x1c\x93\x06=}\xc5\xc9d\x88/\xa2\xe6\x07\xe0s\rD\xaa\x98\xe2\xb7\x89\xcc\x11\x14\xe5\x91\xb1\xf9\xc3\xc9v\x00\xc4sa\xa4 \x89\x0c(s-\x13HU#X\x16\xc1\x12o\xe6dn5\x89\xaaD\xf6sU\xe2G\xb4X;\xc1\xa5\xc2\x96\xd2,\xfb\x90]\x83""\x87a\xc1W\x07\x8c\xab\x87\xb9An\xa5mj\x82\x14\x97\x88f$\xfa\x88\xd2VW\xb3<\x89:\x18"";\x1am\n\xe4|\x9e\xd4\xc5\x9d\xbcl\xd0\xe1\x80\xe7`\xb4\r|q\x84B\x9cB\xdc\x9d\xf9\xb4\x0c:\xda<\'\xb0\x885\xb6\xbfE\x96\xc8V\xf0\x89v\xc7;\xfeIR\x8e\xb0d-\xf20\x1b\x00\x1e\x85L\x01\xa2\xc0)\x85WeK9\xcb\xfd5nrY]\xe3\xa7\x06h\xe8\xbc\x00R\x9cH\x14wF\xfb7<\x8a0\x86\xe3u5\x19#\xea&\x95\x01\x01\xcfj\xc4\xce\xce\xa7Y\x07F@g\\K\x97\xa6\x90*P\xc9\x9cp,\xcf\x14\xc5\xa56\x0c\xcc\x98\x94\xf0\x1b\t\x0c\xac\x1c\x80\xb9(\x80!\xb7c\xb07\x00\x1c\xa2\xbaQ\x8a,\x10\x8fYZp\x0bya\xb5""\x06:\x84v\xc2c\x8e\x17r~\r\x8b\x7f\xaa\xa7\x10\xffS\x03O\x08\x00)i\x06\xc5X\xa5\xb7\xa6ES\xf3\xa5lso\xf5\xc1\x04\xa84Q\x86FB\xbdu\x03D\x99?\\\xf6\xa3\x80\xa2\x94\x84\xc9@\xe96\xd6\x9d\x81oC\xbc\x17\x9b\xf2d\xc3qb\xc2\xf2\xdf\xbd\x9c\xe2\xd4y\x9ey\xd4E\x0c\x8f\x9a!\'\x16>\xde\n\xd4\x11\x0e\xfa:\xb9M\x18\xdb\xcc\x059\xec\xcc[\xf6\xfbU\xd8\x87\xbb1\x00\x1d\x00 \xbas\x04\xab9\xa99A\xbe\'\x1eJ\xd4V\xa232\x9e8h\xfd\xc0\xdc\xc8\xb2x'",DF,"","",2c:3b:70:67:50:8b,"",4456,1970-01-01T00:29:09.145223,1514,"","",48501,"","","",6,"",60194,8160,184978078,88423441,162.247.243.29,2048,"","","","",4,A,"","",0,"","",443,0,"","","","","",0,"",0c:73:29:74:6e:d2,"",192.168.1.9,"",2c:3b:70:67:50:8b,"","",1970-01-01,0
8,"",632,5,"","",502,0,"",64,"[""['NOP', None]"", ""['NOP', None]"", '[\'Timestamp\', ""[\'341211034\', \'1799911333\']""]']","",70:67:50:8b:02:80,2048,[],"b'\xfc`w\xb6\xceH\x00\x05\x00\x05\x01\x00\x00\x00\x00\x00\x1b\x00\x03\x02\x00\x02\x00\x12\x00\x00\x00#\x00\x00\x00-\x00\x02\x01\x01\x00\x17\x00\x00D\xcd\x00\x05\x00\x03\x02h2\x00\x0b\x00\x02\x01\x00\x00+\x00\x07\x06**\x03\x04\x03\x03\xfe\r\x00\xfa\x00\x00\x01\x00\x01\xd5\x00 d\xc9\xff2\x92\x96\x1a\x05\xa5%\x95\\a\xe75\x13\xfe$\\4\x1a,\xdd\xa0\x8e\xd2\x94D\x84Q\xea\x18\x00\xd0\x91\xb4w\xd9c\xc6\xbfT%\x1d\xfe:\x1b6\xc7A\xf8\xf4\x8aY\x94<\xc9\xa4\xd9k\x00\xb3\x7f\xb9B3-Z\xca\x8d\x9a:\xa2\x9cC|\xfb\xd2^)^\xf0\xe3\xd4\xe5\x16\xbch\xee\xc5\xeb\xca\xaf\xe5\xf4\x80K\xa2\x9c\xac\x96J\xc4\xd5\r~\xe2fv\x93\x03\x05v\x99\x0b\x17\'2\xf5\x83\x1da\xedO\n\xe5[Mz\x12\x85\xfc\xe7\x07A\x9c\xa7\xe2)\xe2^k\x8e\xde\xaa\x15/y*\xfb\x10\xf7\x04\xa2\xadN\xde\xdfs\xfe>g\xcf\xbf\x17\x03\xaca\x14\xeba\x84\xdc\xf2a\x84\x9f>&\xbd\x1b\x15\xae\xa6&\xa8\x8dI\x1f\xad\x00\x89~\xac&\x06\xa9\xa3i0~l\x0b\xba\x93\xd7\xd2[\xd0^\xab\x86\xae}\x8b\xe6\xfdl\xd6\x8bt\x04d\x85\xf5\x8e\x02\xceE\xc9J\xdc\x10\xfe\xd0coti\x15\xd2\x02\x00\n\x00\x0c\x00\n\x1a\x1a\x11\xec\x00\x1d\x00\x17\x00\x18::\x00\x01\x00\x00)\x00\xeb\x00\xc6\x00\xc0{E\x97\xc7\xa9\xcc\xfeI\xd8\xec\xe9\n94P\xd5\x10m\xe1\xac\x16\x10dW\'\x8b\xb9\xbe\xb2#\xccDr\x12T;\x03\xd59\x80\xabC\xc7?H2v\xce]dU\xf6\xcaH\x8f\'\xc3\x85\xa9\xd9\x01 \xd9\x91\xfe\x82+/70>>\xf3m\x0c\t\xd7\\S\x14{Ii\xa6\xb8\\Z\xa4\xbern\xe34\x8a\xd8\xe6b\x062\x84V\x0fK\x11""\t\xa8Y?\xb2\x9f\xa0\xd9\xc5\x9c\x90\x97\xf6\x155\xd0\xa88w\xb3P\xc5\xc0\xa7Zj!$\xc7\x04\xd0\xe64\x15\x11\xbd\xa7\xc4\xbf:\x16\x1a\t4l\x02\xe6\x9b\rz\xfe\xca\xb1D\x15\xd8W\xc7\xce\x1e\x03\xa5\x19\x96\xc7\x89G\xb5x\xbbr[\x13\x0bj:K\x9cR\xd4\x83\xf7\x85\xcb\x8e\xcd\x1f\xe4v\x93\xb9\x00! +\x8bD\xe1.T\xae7\xc7i\x1d\x8a~6\x1a\x1a\x9a \x03O\x0e\xa6z\xb1\x89\x9b\xa3\xb6\xe4\x07N\x7f'",DF,"","",aa:aa:03:00:00:00,"",13575,1970-01-01T00:29:09.145223,646,"","",48502,"","","",6,"",60194,9027,184979526,88423441,162.247.243.29,2048,"","","","",4,PA,"","",0,"","",443,0,"","","","","",0,"",70:67:50:8b:02:80,"",192.168.1.9,"",aa:aa:03:00:00:00,"","",1970-01-01,0
